watershed,action,start_year,end_year,units_of_effort,scenario,nick_name
Lower Sacramento River,3,1980,1980,2,8,Winter Run
Lower Sacramento River,4,1981,1981,1,8,Winter Run
Lower Sacramento River,4,1982,1982,1,8,Winter Run
Lower Sacramento River,4,1983,1983,2,8,Winter Run
Lower Sacramento River,4,1984,1984,1,8,Winter Run
Lower Sacramento River,3,1985,1985,1,8,Winter Run
Lower Sacramento River,3,1986,1986,2,8,Winter Run
Lower Sacramento River,4,1987,1987,1,8,Winter Run
Lower Sacramento River,3,1988,1988,1,8,Winter Run
Lower Sacramento River,3,1989,1989,2,8,Winter Run
Lower Sacramento River,3,1990,1990,1,8,Winter Run
Lower Sacramento River,4,1991,1991,1,8,Winter Run
Lower Sacramento River,4,1992,1992,2,8,Winter Run
Lower Sacramento River,3,1993,1993,1,8,Winter Run
Lower Sacramento River,3,1994,1994,1,8,Winter Run
Lower Sacramento River,4,1995,1995,2,8,Winter Run
Lower Sacramento River,4,1996,1996,1,8,Winter Run
Lower Sacramento River,3,1997,1997,1,8,Winter Run
Lower Sacramento River,3,1998,1998,2,8,Winter Run
Lower Sacramento River,3,1999,1999,1,8,Winter Run
Lower-mid Sacramento River,4,1980,1980,1,8,Winter Run
Lower-mid Sacramento River,3,1981,1981,2,8,Winter Run
Lower-mid Sacramento River,3,1982,1982,1,8,Winter Run
Lower-mid Sacramento River,3,1983,1983,1,8,Winter Run
Lower-mid Sacramento River,3,1984,1984,2,8,Winter Run
Lower-mid Sacramento River,4,1985,1985,1,8,Winter Run
Lower-mid Sacramento River,4,1986,1986,1,8,Winter Run
Lower-mid Sacramento River,3,1987,1987,2,8,Winter Run
Lower-mid Sacramento River,3,1988,1988,1,8,Winter Run
Lower-mid Sacramento River,4,1989,1989,1,8,Winter Run
Lower-mid Sacramento River,3,1990,1990,2,8,Winter Run
Lower-mid Sacramento River,4,1991,1991,1,8,Winter Run
Lower-mid Sacramento River,3,1992,1992,1,8,Winter Run
Lower-mid Sacramento River,3,1993,1993,2,8,Winter Run
Lower-mid Sacramento River,4,1994,1994,1,8,Winter Run
Lower-mid Sacramento River,4,1995,1995,1,8,Winter Run
Lower-mid Sacramento River,4,1996,1996,2,8,Winter Run
Lower-mid Sacramento River,3,1997,1997,1,8,Winter Run
Lower-mid Sacramento River,4,1998,1998,1,8,Winter Run
